"","Month","New_date","Region","Price","New_region","Final_date","highlight_flag","Region_factor","label"
"57","Jul-15","01/07/2015","Yorkshire.and.the.Humber",583,"Yorkshire and the Humber",2015-07-01,FALSE,"Yorkshire and the Humber",NA
"58","Jul-15","01/07/2015","East.Midlands",570,"East Midlands",2015-07-01,FALSE,"East Midlands",NA
"59","Jul-15","01/07/2015","West.Midlands",622,"West Midlands",2015-07-01,FALSE,"West Midlands",NA
"60","Jul-15","01/07/2015","East",820,"East",2015-07-01,TRUE,"East",NA
"61","Jul-15","01/07/2015","London",1620,"London",2015-07-01,TRUE,"London",NA
"62","Jul-15","01/07/2015","South.East",943,"South East",2015-07-01,TRUE,"South East",NA
"63","Jul-15","01/07/2015","South.West",788,"South West",2015-07-01,FALSE,"South West",NA
"64","Aug-15","01/08/2015","North.East",534,"North East",2015-08-01,FALSE,"North East",NA
"65","Aug-15","01/08/2015","North.West",597,"North West",2015-08-01,FALSE,"North West",NA
"66","Aug-15","01/08/2015","Yorkshire.and.the.Humber",584,"Yorkshire and the Humber",2015-08-01,FALSE,"Yorkshire and the Humber",NA
"67","Aug-15","01/08/2015","East.Midlands",571,"East Midlands",2015-08-01,FALSE,"East Midlands",NA
"68","Aug-15","01/08/2015","West.Midlands",623,"West Midlands",2015-08-01,FALSE,"West Midlands",NA
"69","Aug-15","01/08/2015","East",824,"East",2015-08-01,TRUE,"East",NA
"70","Aug-15","01/08/2015","London",1633,"London",2015-08-01,TRUE,"London",NA
"71","Aug-15","01/08/2015","South.East",946,"South East",2015-08-01,TRUE,"South East",NA
"72","Aug-15","01/08/2015","South.West",792,"South West",2015-08-01,FALSE,"South West",NA
"73","Sep-15","01/09/2015","North.East",534,"North East",2015-09-01,FALSE,"North East",NA
"74","Sep-15","01/09/2015","North.West",598,"North West",2015-09-01,FALSE,"North West",NA
"75","Sep-15","01/09/2015","Yorkshire.and.the.Humber",585,"Yorkshire and the Humber",2015-09-01,FALSE,"Yorkshire and the Humber",NA
"76","Sep-15","01/09/2015","East.Midlands",573,"East Midlands",2015-09-01,FALSE,"East Midlands",NA
"77","Sep-15","01/09/2015","West.Midlands",625,"West Midlands",2015-09-01,FALSE,"West Midlands",NA
"78","Sep-15","01/09/2015","East",828,"East",2015-09-01,TRUE,"East",NA
"79","Sep-15","01/09/2015","London",1636,"London",2015-09-01,TRUE,"London",NA
"80","Sep-15","01/09/2015","South.East",950,"South East",2015-09-01,TRUE,"South East",NA
"81","Sep-15","01/09/2015","South.West",793,"South West",2015-09-01,FALSE,"South West",NA
"82","Oct-15","01/10/2015","North.East",534,"North East",2015-10-01,FALSE,"North East",NA
"83","Oct-15","01/10/2015","North.West",599,"North West",2015-10-01,FALSE,"North West",NA
"84","Oct-15","01/10/2015","Yorkshire.and.the.Humber",585,"Yorkshire and the Humber",2015-10-01,FALSE,"Yorkshire and the Humber",NA
"85","Oct-15","01/10/2015","East.Midlands",574,"East Midlands",2015-10-01,FALSE,"East Midlands",NA
"86","Oct-15","01/10/2015","West.Midlands",626,"West Midlands",2015-10-01,FALSE,"West Midlands",NA
"87","Oct-15","01/10/2015","East",833,"East",2015-10-01,TRUE,"East",NA
"88","Oct-15","01/10/2015","London",1640,"London",2015-10-01,TRUE,"London",NA
"89","Oct-15","01/10/2015","South.East",952,"South East",2015-10-01,TRUE,"South East",NA
"90","Oct-15","01/10/2015","South.West",794,"South West",2015-10-01,FALSE,"South West",NA
"91","Nov-15","01/11/2015","North.East",535,"North East",2015-11-01,FALSE,"North East",NA
"92","Nov-15","01/11/2015","North.West",601,"North West",2015-11-01,FALSE,"North West",NA
"93","Nov-15","01/11/2015","Yorkshire.and.the.Humber",586,"Yorkshire and the Humber",2015-11-01,FALSE,"Yorkshire and the Humber",NA
"94","Nov-15","01/11/2015","East.Midlands",574,"East Midlands",2015-11-01,FALSE,"East Midlands",NA
"95","Nov-15","01/11/2015","West.Midlands",627,"West Midlands",2015-11-01,FALSE,"West Midlands",NA
"96","Nov-15","01/11/2015","East",836,"East",2015-11-01,TRUE,"East",NA
"97","Nov-15","01/11/2015","London",1640,"London",2015-11-01,TRUE,"London",NA
"98","Nov-15","01/11/2015","South.East",957,"South East",2015-11-01,TRUE,"South East",NA
"99","Nov-15","01/11/2015","South.West",797,"South West",2015-11-01,FALSE,"South West",NA
"100","Dec-15","01/12/2015","North.East",535,"North East",2015-12-01,FALSE,"North East",NA
"101","Dec-15","01/12/2015","North.West",601,"North West",2015-12-01,FALSE,"North West",NA
"102","Dec-15","01/12/2015","Yorkshire.and.the.Humber",586,"Yorkshire and the Humber",2015-12-01,FALSE,"Yorkshire and the Humber",NA
"103","Dec-15","01/12/2015","East.Midlands",574,"East Midlands",2015-12-01,FALSE,"East Midlands",NA
