"","Year","age_mother","SUM_births","SUM_pop","EandW_ASFR","EandW_ASFR_perK"
"104","1997","34",23107,345626,0.0668555027688889,66.8555027688889
"105","1997","35",19055,339299,0.0561599061594641,56.1599061594641
"106","1997","36",14822,331848,0.0446650273619247,44.6650273619247
"107","1997","37",11201,319021,0.0351105413123274,35.1105413123274
"108","1997","38",8208,314819,0.0260721239823518,26.0721239823518
"109","1997","39",5847,311676,0.0187598660147076,18.7598660147076
"110","1997","42",9909,1465192,0.00676293618856778,6.76293618856778
"111","1998","17",42755,1348778,0.0316990638933909,31.6990638933909
"112","1998","20",16289,239091,0.0681288714338892,68.1288714338892
"113","1998","21",17113,235385,0.0727021687873059,72.7021687873059
"114","1998","22",19199,245668,0.0781501864304671,78.1501864304671
"115","1998","23",20873,258497,0.0807475521959636,80.7475521959636
"116","1998","24",23754,271514,0.0874872013966131,87.4872013966131
"117","1998","25",26904,290290,0.0926797340590444,92.6797340590444
"118","1998","26",30884,309185,0.099888416320326,99.888416320326
"119","1998","27",34485,322572,0.106906365090584,106.906365090584
"120","1998","28",35054,319723,0.109638655961567,109.638655961567
"121","1998","29",36414,330837,0.110066286418992,110.066286418992
"122","1998","30",36159,333428,0.108446201278837,108.446201278837
"123","1998","31",33986,342424,0.0992512207088288,99.2512207088288
"124","1998","32",31690,346812,0.0913751542622516,91.3751542622516
"125","1998","33",27885,351108,0.079420007519054,79.420007519054
"126","1998","34",23981,350484,0.068422524280709,68.422524280709
"127","1998","35",19867,345858,0.0574426498736476,57.4426498736476
"128","1998","36",15565,339978,0.0457823741536217,45.7823741536217
"129","1998","37",11913,332201,0.035860819202832,35.860819202832
"130","1998","38",8725,319351,0.0273210354750729,27.3210354750729
"131","1998","39",6321,315243,0.0200511985991759,20.0511985991759
"132","1998","42",10438,1487863,0.00701543085620114,7.01543085620114
"133","1999","17",42704,1362682,0.0313381992276995,31.3381992276995
"134","1999","20",17473,261355,0.0668554265271374,66.8554265271374
"135","1999","21",17189,240927,0.0713452622578623,71.3452622578623
"136","1999","22",18065,236814,0.0762834967527258,76.2834967527258
"137","1999","23",19828,245360,0.0808118682751875,80.8118682751875
"138","1999","24",21850,255381,0.0855584401345441,85.5584401345441
"139","1999","25",24612,268331,0.0917225367177106,91.7225367177106
"140","1999","26",28284,288177,0.0981480132002207,98.1480132002207
"141","1999","27",31691,308588,0.102696799616317,102.696799616317
"142","1999","28",34462,321938,0.107045455957358,107.045455957358
"143","1999","29",34440,319963,0.107637445579645,107.637445579645
"144","1999","30",35015,331503,0.105624986802533,105.624986802533
"145","1999","31",33063,335384,0.0985825203348997,98.5825203348997
"146","1999","32",30782,344595,0.0893280517709195,89.3280517709195
"147","1999","33",27565,348847,0.0790174489102673,79.0174489102672
"148","1999","34",24172,352848,0.068505418763887,68.505418763887
"149","1999","35",20223,352247,0.0574114186919974,57.4114186919974
"150","1999","36",15990,348093,0.0459359998621058,45.9359998621058
"151","1999","37",12202,341404,0.0357406474440838,35.7406474440838
"152","1999","38",9027,333373,0.0270777777444484,27.0777777444484
"153","1999","39",6539,320671,0.0203916163295091,20.3916163295091
"154","1999","42",10862,1515199,0.00716869533308826,7.16869533308826
"155","2000","17",40363,1360400,0.0296699500147016,29.6699500147016
"156","2000","20",17459,276311,0.0631860476057775,63.1860476057775
"157","2000","21",17719,261483,0.0677634874924947,67.7634874924947
"158","2000","22",17557,242113,0.0725157261278824,72.5157261278824
"159","2000","23",18347,238639,0.0768818173056374,76.8818173056374
"160","2000","24",20468,245848,0.0832546939572419,83.2546939572419
"161","2000","25",23007,257826,0.0892346000791231,89.2346000791231
"162","2000","26",25660,270623,0.0948182526984033,94.8182526984033
"163","2000","27",28466,290417,0.0980176780284901,98.0176780284901
"164","2000","28",31827,311539,0.102160564166926,102.160564166926
"165","2000","29",34316,324415,0.105778092874867,105.778092874867
"166","2000","30",33149,323109,0.102593861514226,102.593861514226
"167","2000","31",32334,333975,0.0968156299124186,96.8156299124186
"168","2000","32",30222,338136,0.0893782383419689,89.3782383419689
"169","2000","33",26882,347306,0.077401484569803,77.401484569803
"170","2000","34",23789,350931,0.0677882546711462,67.7882546711462
"171","2000","35",20532,354509,0.0579167242580583,57.9167242580583
"172","2000","36",16832,354039,0.0475427848344391,47.5427848344391
"173","2000","37",12829,349328,0.03672479732515,36.72479732515
"174","2000","38",9421,342440,0.027511388856442,27.511388856442
"175","2000","39",6897,334665,0.0206086683698624,20.6086683698624
"176","2000","42",11375,1552280,0.00732793052799753,7.32793052799753
"177","2001","17",38869,1373221,0.0283049851407749,28.3049851407749
"178","2001","20",17559,277190,0.0633464410693027,63.3464410693026
"179","2001","21",18519,275972,0.0671046338034293,67.1046338034293
"180","2001","22",18751,261139,0.0718046710755575,71.8046710755575
"181","2001","23",18419,243682,0.0755862148209552,75.5862148209552
"182","2001","24",19238,241297,0.0797274727825046,79.7274727825045
"183","2001","25",21508,247484,0.0869066283072845,86.9066283072845
"184","2001","26",24089,258781,0.0930864321569203,93.0864321569203
"185","2001","27",26728,271534,0.0984333453637482,98.4333453637482
"186","2001","28",29140,291169,0.100079335368806,100.079335368806
"187","2001","29",32213,312944,0.102935349455494,102.935349455494
"188","2001","30",33561,326176,0.102892303541646,102.892303541646
"189","2001","31",31854,324896,0.0980436816704422,98.0436816704422
"190","2001","32",30029,335836,0.089415667170881,89.415667170881
"191","2001","33",26532,339933,0.0780506746917775,78.0506746917775
"192","2001","34",23613,349053,0.0676487524817148,67.6487524817148
"193","2001","35",20433,352214,0.0580130261715889,58.0130261715889
"194","2001","36",16765,355890,0.0471072522408609,47.1072522408609
"195","2001","37",13313,354594,0.0375443464920444,37.5443464920444
"196","2001","38",9733,349976,0.0278104784328068,27.8104784328068
"197","2001","39",7063,343214,0.0205789973602475,20.5789973602475
"198","2001","42",12267,1592893,0.00770108224469566,7.70108224469566
"199","2002","17",38228,1394794,0.0274076315212139,27.4076315212139
"200","2002","20",16681,271335,0.0614775093519082,61.4775093519082
"201","2002","21",18466,280064,0.0659349291590494,65.9349291590494
"202","2002","22",19813,278993,0.0710161186839813,71.0161186839813
"203","2002","23",19608,262456,0.074709665620142,74.709665620142
"204","2002","24",19402,245047,0.0791766477451264,79.1766477451264
"205","2002","25",21013,242378,0.086695162102171,86.695162102171
"206","2002","26",23207,249626,0.0929670787498097,92.9670787498097
"207","2002","27",25446,261064,0.0974703520975699,97.4703520975699
"208","2002","28",27696,274316,0.100963851908018,100.963851908018
"209","2002","29",30168,294159,0.102556780516659,102.556780516659
"210","2002","30",32399,315801,0.102593088685596,102.593088685596
"211","2002","31",32575,329337,0.0989108420857663,98.9108420857662
"212","2002","32",30013,327596,0.0916158927459432,91.6158927459432
"213","2002","33",27238,338646,0.0804320736107912,80.4320736107912
"214","2002","34",24714,342583,0.0721401820872606,72.1401820872606
"215","2002","35",21110,351580,0.0600432334034928,60.0432334034928
"216","2002","36",17390,354546,0.049048642489268,49.048642489268
"217","2002","37",13934,358275,0.0388919126369409,38.8919126369409
"218","2002","38",10477,356845,0.0293600863119842,29.3600863119842
"219","2002","39",7603,351635,0.0216218522047009,21.6218522047009
"220","2002","42",13129,1636189,0.00802413413120367,8.02413413120367
"221","2003","17",38956,1429880,0.0272442442722466,27.2442442722466
"222","2003","20",17213,273637,0.0629045048732445,62.9045048732445
"223","2003","21",18563,274807,0.0675492254564112,67.5492254564112
"224","2003","22",20055,283399,0.0707659518911499,70.7659518911499
"225","2003","23",21645,281054,0.0770136699708953,77.0136699708953
"226","2003","24",21720,264842,0.0820111613716858,82.0111613716858
"227","2003","25",21779,247543,0.087980674064708,87.980674064708
"228","2003","26",23379,245551,0.0952103636311805,95.2103636311805
"229","2003","27",25976,253788,0.102353145144766,102.353145144767
"230","2003","28",28172,265395,0.106151208575896,106.151208575896
"231","2003","29",30383,278565,0.109069696480175,109.069696480175
"232","2003","30",32067,298037,0.107594023560833,107.594023560833
"233","2003","31",33078,319225,0.103619703970554,103.619703970554
"234","2003","32",32454,333397,0.0973434074091848,97.3434074091848
"235","2003","33",28865,330566,0.0873199300593527,87.3199300593527
"236","2003","34",26065,341634,0.0762950994338971,76.2950994338971
"237","2003","35",22358,344484,0.0649028692188897,64.9028692188897
"238","2003","36",18509,352991,0.052434764625727,52.434764625727
"239","2003","37",15048,356063,0.042262183939359,42.262183939359
"240","2003","38",11657,359716,0.0324061203838584,32.4061203838584
"241","2003","39",8604,358047,0.0240303647286529,24.0303647286529
"242","2003","42",14268,1676889,0.00850861327136143,8.50861327136143
"243","2004","17",39717,1455509,0.0272873613285799,27.2873613285799
"244","2004","20",17822,280281,0.0635861867197562,63.5861867197562
"245","2004","21",18951,277749,0.068230668697277,68.230668697277
"246","2004","22",20587,279258,0.0737203589512207,73.7203589512207
"247","2004","23",22161,285844,0.0775283021508235,77.5283021508235
"248","2004","24",23468,284073,0.0826125678962802,82.6125678962802
"249","2004","25",24231,267892,0.0904506293580995,90.4506293580995
"250","2004","26",24185,250576,0.0965176233956963,96.5176233956963
"251","2004","27",25413,249540,0.10183938446742,101.83938446742
"252","2004","28",27987,258376,0.108318884106883,108.318884106883
"253","2004","29",30174,270162,0.111688542430098,111.688542430097
"254","2004","30",31691,281249,0.112679511749375,112.679511749375
"255","2004","31",32953,300748,0.109570138454786,109.570138454786
"256","2004","32",32396,321441,0.100783658587424,100.783658587424
"257","2004","33",31104,335934,0.0925896158173927,92.5896158173927
"258","2004","34",26780,332488,0.0805442602439787,80.5442602439787
"259","2004","35",23659,344374,0.0687014699135242,68.7014699135242
"260","2004","36",19582,347003,0.0564317887741605,56.4317887741605
"261","2004","37",15702,354991,0.0442321072928609,44.2321072928609
"262","2004","38",12311,357973,0.0343908618806446,34.3908618806446
"263","2004","39",9262,361617,0.0256127339146113,25.6127339146113
"264","2004","42",15695,1721233,0.00911846333413315,9.11846333413315
"265","2005","17",39567,1474580,0.0268327252505798,26.8327252505798
"266","2005","20",18131,295993,0.0612548269722595,61.2548269722595
"267","2005","21",19145,286838,0.0667449919466737,66.7449919466737
"268","2005","22",20621,286897,0.071875969424567,71.875969424567
"269","2005","23",22002,285245,0.0771336920892566,77.1336920892566
"270","2005","24",23831,291568,0.0817339351369149,81.7339351369149
"271","2005","25",25709,288922,0.0889824935449706,88.9824935449706
"272","2005","26",26065,273499,0.0953019937915678,95.3019937915678
"273","2005","27",26215,255938,0.102427150325469,102.427150325469
"274","2005","28",27299,255342,0.106911514752763,106.911514752763
"275","2005","29",29723,264477,0.112384063642585,112.384063642585
"276","2005","30",30786,275300,0.111827097711587,111.827097711587
"277","2005","31",32103,285949,0.112268271614868,112.268271614868
"278","2005","32",31105,305161,0.101929800990297,101.929800990297
"279","2005","33",30134,325014,0.0927160060797381,92.7160060797381
"280","2005","34",28211,339778,0.0830277416430728,83.0277416430728
"281","2005","35",23760,334743,0.0709798263145159,70.9798263145159
"282","2005","36",20091,346525,0.057978500829666,57.978500829666
"283","2005","37",16130,348746,0.0462514265396592,46.2514265396592
"284","2005","38",12514,356360,0.0351161746548434,35.1161746548434
"285","2005","39",9647,359183,0.0268581753590788,26.8581753590788
"286","2005","42",16810,1763303,0.00953324527888854,9.53324527888854
"287","2006","17",40425,1487999,0.0271673569673098,27.1673569673098
"288","2006","20",18993,300022,0.0633053576071088,63.3053576071088
"289","2006","21",20212,301588,0.0670185816411794,67.0185816411794
"290","2006","22",21720,294136,0.0738433921723285,73.8433921723284
"291","2006","23",22856,292395,0.0781682313309051,78.1682313309051
"292","2006","24",24710,290992,0.0849164238192115,84.9164238192115
"293","2006","25",26401,292724,0.0901907598966945,90.1907598966945
"294","2006","26",28459,291629,0.0975863168614918,97.5863168614918
"295","2006","27",28988,276959,0.104665311472095,104.665311472095
"296","2006","28",28339,259344,0.109271855142205,109.271855142205
"297","2006","29",29655,258984,0.114505143174868,114.505143174868
"298","2006","30",31032,269002,0.115359737102326,115.359737102326
"299","2006","31",32113,279709,0.114808604656983,114.808604656983
"300","2006","32",31260,290118,0.107749260645668,107.749260645668
"301","2006","33",29869,308811,0.0967225908403522,96.7225908403522
"302","2006","34",28327,328188,0.0863133326020452,86.3133326020452
"303","2006","35",25887,342878,0.0754991571346076,75.4991571346076
"304","2006","36",21182,336977,0.0628588894791039,62.8588894791039
"305","2006","37",17003,348598,0.0487753802374081,48.7753802374081
"306","2006","38",13223,350682,0.037706526140492,37.706526140492
"307","2006","39",9821,357867,0.0274431562563746,27.4431562563746
"308","2006","42",18003,1787945,0.0100691016781836,10.0691016781836
"309","2007","17",39765,1504648,0.0264281081023602,26.4281081023602
"310","2007","20",19318,301136,0.0641504170872961,64.1504170872961
"311","2007","21",20927,303469,0.0689592676681968,68.9592676681968
"312","2007","22",22509,305390,0.0737057532990602,73.7057532990602
"313","2007","23",23450,295869,0.0792580500153784,79.2580500153784
"314","2007","24",25304,295355,0.0856731729613516,85.6731729613516
"315","2007","25",27220,293296,0.0928072663793574,92.8072663793574
"316","2007","26",29481,295839,0.0996521756766349,99.6521756766349
"317","2007","27",31469,295811,0.106382115607601,106.382115607601
"318","2007","28",31170,281860,0.110586816149862,110.586816149862
"319","2007","29",31043,263788,0.117681623121598,117.681623121598
"320","2007","30",30772,261234,0.117794774034008,117.794774034008
"321","2007","31",32150,271573,0.118384375471788,118.384375471788
"322","2007","32",31449,282298,0.111403552274547,111.403552274547
"323","2007","33",29894,292457,0.102216736135569,102.216736135569
"324","2007","34",28302,310893,0.0910345359979157,91.0345359979157
"325","2007","35",26191,330623,0.0792171143568354,79.2171143568354
"326","2007","36",22600,345576,0.0653980600504665,65.3980600504665
"327","2007","37",17729,338911,0.0523116688452131,52.311668845213
"328","2007","38",14096,350559,0.0402100644969891,40.2100644969891
"329","2007","39",10381,352252,0.0294703791603738,29.4703791603738
"330","2007","42",19043,1804820,0.0105511907004577,10.5511907004577
"331","2008","17",39824,1506417,0.026436239102453,26.436239102453
"332","2008","20",20114,310567,0.064765412938271,64.765412938271
"333","2008","21",21683,304589,0.0711877316646366,71.1877316646366
"334","2008","22",23618,307197,0.0768822612199989,76.8822612199989
"335","2008","23",25183,306451,0.0821762696156971,82.1762696156971
"336","2008","24",26096,297611,0.0876849310005343,87.6849310005343
"337","2008","25",28481,294483,0.0967152603036508,96.7152603036508
"338","2008","26",30209,293525,0.102917979729154,102.917979729154
"339","2008","27",32688,296762,0.110148873508064,110.148873508064
"340","2008","28",34318,298187,0.115088853638824,115.088853638824
"341","2008","29",34111,285030,0.119675121916991,119.675121916991
"342","2008","30",32331,267509,0.120859485101436,120.859485101436
"343","2008","31",31888,265103,0.120285323063111,120.285323063111
"344","2008","32",31495,275709,0.114232759902651,114.232759902651
"345","2008","33",29844,286149,0.104295314678716,104.295314678716
"346","2008","34",27726,295873,0.0937091251989874,93.7091251989874
"347","2008","35",25585,313568,0.0815931472599245,81.5931472599245
"348","2008","36",22220,332493,0.0668284745844273,66.8284745844273
"349","2008","37",18433,347889,0.0529852912854387,52.9852912854387
"350","2008","38",14069,340700,0.0412943938949222,41.2943938949222
"351","2008","39",10956,351991,0.031125795830007,31.125795830007
"352","2008","42",19934,1800664,0.011070360711382,11.070360711382
"353","2009","17",38645,1511828,0.0255617702542882,25.5617702542882
"354","2009","20",19586,306498,0.0639025377000829,63.9025377000829
"355","2009","21",21722,310689,0.0699155747387259,69.9155747387259
"356","2009","22",23771,304391,0.0780936361456153,78.0936361456153
"357","2009","23",24923,304641,0.081811049727384,81.811049727384
"358","2009","24",26938,304254,0.0885378663879522,88.5378663879522
"359","2009","25",28394,295406,0.0961185622499205,96.1185622499204
"360","2009","26",30534,294719,0.103603771728324,103.603771728324
"361","2009","27",31848,294905,0.107994099794849,107.994099794849
"362","2009","28",34392,298813,0.115095394109359,115.095394109359
"363","2009","29",35488,301203,0.117820871638065,117.820871638065
"364","2009","30",33947,287063,0.118256271271463,118.256271271463
"365","2009","31",31866,269500,0.118241187384045,118.241187384045
"366","2009","32",30416,267173,0.113843839010678,113.843839010678
"367","2009","33",28351,277968,0.101993754676797,101.993754676797
"368","2009","34",26718,288308,0.0926717260707299,92.6717260707299
"369","2009","35",24265,298533,0.0812807964278656,81.2807964278656
"370","2009","36",21186,315945,0.0670559749323458,67.0559749323458
"371","2009","37",17991,334274,0.0538211168083668,53.8211168083668
"372","2009","38",14576,349825,0.041666547559494,41.666547559494
"373","2009","39",10974,341966,0.0320909096225941,32.0909096225941
"374","2009","42",20215,1792507,0.0112775012873032,11.2775012873032
"375","2010","17",36514,1502542,0.0243014837522013,24.3014837522013
"376","2010","20",19361,311081,0.0622378094451284,62.2378094451284
"377","2010","21",21337,310104,0.0688059489719578,68.8059489719578
"378","2010","22",24489,313254,0.0781761765212894,78.1761765212894
"379","2010","23",25942,304341,0.0852399118094506,85.2399118094506
"380","2010","24",27282,304548,0.0895819378226092,89.5819378226092
"381","2010","25",29761,303191,0.0981592461517657,98.1592461517657
"382","2010","26",31113,295921,0.105139547379199,105.139547379199
"383","2010","27",32969,297368,0.110869360522988,110.869360522988
"384","2010","28",34458,298137,0.115577737751436,115.577737751436
"385","2010","29",36551,302502,0.120828953197004,120.828953197004
"386","2010","30",36710,304755,0.120457416613345,120.457416613345
"387","2010","31",35157,290755,0.120916235318395,120.916235318395
"388","2010","32",31402,272313,0.115315831414585,115.315831414585
"389","2010","33",29097,270084,0.107733149686764,107.733149686764
"390","2010","34",27315,281092,0.0971745905255219,97.1745905255219
"391","2010","35",24513,290498,0.0843826807757713,84.3826807757713
"392","2010","36",21467,300446,0.0714504436737384,71.4504436737384
"393","2010","37",17491,317588,0.0550744990364875,55.0744990364875
"394","2010","38",14646,335250,0.0436868008948546,43.6868008948546
"395","2010","39",11599,351182,0.0330284581783804,33.0284581783804
"396","2010","42",20672,1771842,0.0116669545027153,11.6669545027153
"397","2011","17",32890,1488848,0.0220909051830677,22.0909051830677
"398","2011","20",18062,323226,0.0558804056604357,55.8804056604357
"399","2011","21",20667,315302,0.0655466822284667,65.5466822284667
"400","2011","22",23779,312744,0.0760334330954391,76.0334330954391
"401","2011","23",26408,313146,0.0843312703978336,84.3312703978336
"402","2011","24",27874,304646,0.0914963597093019,91.496359709302
"403","2011","25",29878,301910,0.0989632671988341,98.9632671988341
"404","2011","26",32023,302126,0.105992201928997,105.992201928997
"405","2011","27",33040,296012,0.111617096604192,111.617096604192
"406","2011","28",34520,299849,0.115124612721737,115.124612721737
"407","2011","29",36708,301051,0.121932828656939,121.932828656939
"408","2011","30",36617,305028,0.120044717206289,120.044717206289
"409","2011","31",37111,307827,0.120557975746117,120.557975746117
"410","2011","32",33567,294135,0.114121066857055,114.121066857055
"411","2011","33",29669,274855,0.10794418875407,107.94418875407
"412","2011","34",26929,272781,0.0987202187835663,98.7202187835663
"413","2011","35",24216,282536,0.0857094317184359,85.7094317184359
"414","2011","36",21251,291893,0.0728040754660098,72.8040754660098
"415","2011","37",17634,301471,0.0584931883995475,58.4931883995475
"416","2011","38",14327,318418,0.0449943156479847,44.9943156479847
"417","2011","39",11692,335418,0.0348579980800076,34.8579980800076
"418","2011","42",22011,1763229,0.0124833473133666,12.4833473133666
"419","2012","17",30445,1475197,0.0206379215792874,20.6379215792874
"420","2012","20",17333,322839,0.0536893002394382,53.6893002394382
"421","2012","21",20152,326348,0.0617500337063503,61.7500337063503
"422","2012","22",23373,318475,0.0733903760106759,73.3903760106759
"423","2012","23",25890,316886,0.0817013058323814,81.7013058323814
"424","2012","24",28368,314664,0.0901533063839524,90.1533063839524
"425","2012","25",30490,305447,0.0998209181953007,99.8209181953007
"426","2012","26",31908,303537,0.105120627798259,105.120627798259
"427","2012","27",33990,304958,0.111457971261616,111.457971261616
"428","2012","28",35041,299151,0.117134824887766,117.134824887766
"429","2012","29",36736,302643,0.121383940814755,121.383940814755
"430","2012","30",36890,303891,0.12139220970677,121.39220970677
"431","2012","31",38102,307843,0.123770883209948,123.770883209948
"432","2012","32",36141,310784,0.11628977038715,116.28977038715
"433","2012","33",32395,296793,0.109150148419943,109.150148419943
"434","2012","34",27909,277245,0.100665476383704,100.665476383704
"435","2012","35",24059,274401,0.0876782519014144,87.6782519014144
"436","2012","36",20870,284277,0.0734143106899257,73.4143106899257
"437","2012","37",17497,293567,0.0596013857143344,59.6013857143344
"438","2012","38",13927,302950,0.0459712823898333,45.9712823898333
"439","2012","39",11343,319617,0.035489351317358,35.489351317358
"440","2012","42",22432,1744430,0.0128592147578292,12.8592147578292
"441","2013","17",26321,1454807,0.0180924342541657,18.0924342541657
"442","2013","20",14881,319342,0.046598944078762,46.598944078762
"443","2013","21",18196,325772,0.0558550151639797,55.8550151639797
"444","2013","22",21232,328571,0.0646192147207149,64.6192147207149
"445","2013","23",23850,322161,0.0740313073277026,74.0313073277026
"446","2013","24",26580,317160,0.0838062807415815,83.8062807415815
"447","2013","25",29379,314942,0.093283842739298,93.283842739298
"448","2013","26",31370,307451,0.102032519003028,102.032519003028
"449","2013","27",33005,306384,0.107724293696799,107.724293696799
"450","2013","28",34730,308192,0.112689492264562,112.689492264562
"451","2013","29",35379,302190,0.117075349945399,117.075349945399
"452","2013","30",35769,305747,0.116988882965328,116.988882965328
"453","2013","31",36352,306549,0.118584630842051,118.584630842051
"454","2013","32",35011,310885,0.112617205719157,112.617205719157
"455","2013","33",32758,313527,0.10448222960064,104.48222960064
"456","2013","34",28654,299486,0.095677260372772,95.677260372772
