"","year","SUM_ASFR","TFR","age_Cat"
"1",1993,28.3449623220765,0.141724811610382,"15 - 19"
"2",1993,67.0410417552863,0.335205208776432,"20 - 24"
"3",1993,93.9326357026518,0.469663178513259,"25 - 29"
"4",1993,95.0383203816628,0.475191601908314,"30 - 34"
"5",1993,48.5055847782324,0.242527923891162,"35 - 39"
"6",1993,10.3608090345527,0.0518040451727635,"40 - 44"
"7",1994,26.1826312073429,0.130913156036715,"15 - 19"
"8",1994,64.595678245751,0.322978391228755,"20 - 24"
"9",1994,93.3928255635211,0.466964127817605,"25 - 29"
"10",1994,97.6759749345988,0.488379874672994,"30 - 34"
"11",1994,50.6805403517858,0.253402701758929,"35 - 39"
"12",1994,11.3015445140609,0.0565077225703045,"40 - 44"
"13",1995,24.5911550436807,0.122955775218403,"15 - 19"
"14",1995,64.1689388336332,0.320844694168166,"20 - 24"
"15",1995,92.0010386448477,0.460005193224238,"25 - 29"
"16",1995,95.9199905732634,0.479599952866317,"30 - 34"
"17",1995,51.6454643403966,0.258227321701983,"35 - 39"
"18",1995,11.9498794132047,0.0597493970660235,"40 - 44"
"19",1996,25.1324094899514,0.125662047449757,"15 - 19"
"20",1996,64.0702480888829,0.320351240444414,"20 - 24"
"21",1996,90.6199319308344,0.453099659654172,"25 - 29"
"22",1996,97.6064692192688,0.488032346096344,"30 - 34"
"23",1996,52.8753964657907,0.264376982328953,"35 - 39"
"24",1996,12.317012957551,0.061585064787755,"40 - 44"
"25",1997,25.4994003448017,0.127497001724009,"15 - 19"
"26",1997,64.2834792297888,0.321417396148944,"20 - 24"
"27",1997,90.5939702439125,0.452969851219563,"25 - 29"
"28",1997,95.5520988322287,0.477760494161143,"30 - 34"
"29",1997,54.7778475273767,0.273889237636884,"35 - 39"
"30",1997,12.9787289437371,0.0648936447186857,"40 - 44"
"31",1998,26.0090786406576,0.130045393203288,"15 - 19"
"32",1998,60.9730013696317,0.304865006848158,"20 - 24"
"33",1998,88.9676260738727,0.444838130369364,"25 - 29"
"34",1998,97.2406905567431,0.486203452783716,"30 - 34"
"35",1998,54.9392163283855,0.274696081641928,"35 - 39"
"36",1998,13.0763878639651,0.0653819393198254,"40 - 44"
"37",1999,27.7434418349128,0.138717209174564,"15 - 19"
"38",1999,58.7653501014316,0.293826750507158,"20 - 24"
"39",1999,82.4378387179308,0.412189193589654,"25 - 29"
"40",1999,97.2345117206702,0.486172558603351,"30 - 34"
"41",1999,55.9921860803198,0.279960930401599,"35 - 39"
"42",1999,13.8564342229328,0.069282171114664,"40 - 44"
"43",2000,27.0405212344715,0.135202606172357,"15 - 19"
"44",2000,58.6086300346101,0.293043150173051,"20 - 24"
"45",2000,76.9772400176875,0.384886200088438,"25 - 29"
"46",2000,94.5641360005846,0.472820680002923,"30 - 34"
"47",2000,57.7315899955758,0.288657949977879,"35 - 39"
"48",2000,14.5397907187274,0.072698953593637,"40 - 44"
"49",2001,25.8726979439271,0.129363489719635,"15 - 19"
"50",2001,58.6196368599702,0.293098184299851,"20 - 24"
"51",2001,72.1791867677464,0.360895933838732,"25 - 29"
"52",2001,92.9376555813498,0.464688277906749,"30 - 34"
"53",2001,58.7156582243934,0.293578291121967,"35 - 39"
"54",2001,15.2693737137943,0.0763468685689713,"40 - 44"
"55",2002,25.11016599303,0.12555082996515,"15 - 19"
"56",2002,60.5884139261535,0.302942069630768,"20 - 24"
"57",2002,71.7551901381812,0.358775950690906,"25 - 29"
"58",2002,94.1344938930226,0.470672469465113,"30 - 34"
"59",2002,60.1475356826623,0.300737678413311,"35 - 39"
"60",2002,15.5518742478494,0.077759371239247,"40 - 44"
"61",2003,24.4277638773052,0.122138819386526,"15 - 19"
"62",2003,62.9114029405698,0.314557014702849,"20 - 24"
"63",2003,76.338942321189,0.381694711605945,"25 - 29"
"64",2003,98.3735586786159,0.491867793393079,"30 - 34"
"65",2003,64.3376373050064,0.321688186525032,"35 - 39"
"66",2003,17.271380703798,0.0863569035189899,"40 - 44"
"67",2004,24.3610332344375,0.121805166172188,"15 - 19"
"68",2004,64.4853637191692,0.322426818595846,"20 - 24"
"69",2004,77.2827959635737,0.386413979817869,"25 - 29"
"70",2004,102.352165817186,0.511760829085928,"30 - 34"
"71",2004,66.0282734420492,0.330141367210246,"35 - 39"
"72",2004,17.7900722514041,0.0889503612570206,"40 - 44"
"73",2005,23.4188384612642,0.117094192306321,"15 - 19"
"74",2005,64.16253578161,0.32081267890805,"20 - 24"
"75",2005,78.2231412686581,0.391115706343291,"25 - 29"
"76",2005,101.534014107705,0.507670070538524,"30 - 34"
"77",2005,67.4082382042497,0.337041191021249,"35 - 39"
"78",2005,18.4476833102283,0.0922384165511416,"40 - 44"
"79",2006,22.6088040347746,0.113044020173873,"15 - 19"
"80",2006,65.7688992754043,0.328844496377021,"20 - 24"
"81",2006,80.1917191319935,0.400958595659967,"25 - 29"
"82",2006,103.244514502955,0.516222572514773,"30 - 34"
"83",2006,72.2714366661197,0.361357183330598,"35 - 39"
"84",2006,19.0693436769366,0.0953467183846829,"40 - 44"
"85",2007,22.1076777051255,0.110538388525628,"15 - 19"
"86",2007,64.1350436011627,0.320675218005813,"20 - 24"
"87",2007,81.5446504485984,0.407723252242992,"25 - 29"
"88",2007,108.477604705365,0.542388023526826,"30 - 34"
"89",2007,75.4275935404466,0.377137967702233,"35 - 39"
"90",2007,20.7025088661532,0.103512544330766,"40 - 44"
"91",2008,21.1769630220664,0.105884815110332,"15 - 19"
"92",2008,62.5073117468901,0.31253655873445,"20 - 24"
"93",2008,81.7667407956511,0.408833703978256,"25 - 29"
"94",2008,108.025825415989,0.540129127079943,"30 - 34"
"95",2008,77.1370685435654,0.385685342717827,"35 - 39"
"96",2008,21.3751053388192,0.106875526694096,"40 - 44"
"97",2009,19.7719878140346,0.0988599390701729,"15 - 19"
"98",2009,61.398133156153,0.306990665780765,"20 - 24"
"99",2009,81.4361154860762,0.407180577430381,"25 - 29"
"100",2009,108.160922938803,0.540804614694016,"30 - 34"
"101",2009,77.4797446599558,0.387398723299779,"35 - 39"
"102",2009,22.093076585401,0.110465382927005,"40 - 44"
"103",2010,17.7139822947224,0.0885699114736118,"15 - 19"
"104",2010,60.8550934048921,0.304275467024461,"20 - 24"
"105",2010,82.5609102209912,0.412804551104956,"25 - 29"
"106",2010,111.305417499563,0.556527087497817,"30 - 34"
"107",2010,79.6145967217519,0.398072983608759,"35 - 39"
"108",2010,23.1215957868917,0.115607978934459,"40 - 44"
"109",2011,15.3238621848303,0.0766193109241514,"15 - 19"
"110",2011,57.5095584852379,0.287547792426189,"20 - 24"
"111",2011,81.4013797807413,0.407006898903707,"25 - 29"
"112",2011,108.878823852624,0.544394119263118,"30 - 34"
"113",2011,80.0640853821974,0.400320426910987,"35 - 39"
"114",2011,24.0220349542578,0.120110174771289,"40 - 44"
"115",2012,14.6070787147162,0.0730353935735811,"15 - 19"
"116",2012,54.3507615010206,0.271753807505103,"20 - 24"
"117",2012,80.0114335518516,0.400057167759258,"25 - 29"
"118",2012,108.980227914678,0.544901139573391,"30 - 34"
"119",2012,81.4203590004302,0.407101795002151,"35 - 39"
"120",2012,24.5862930357835,0.122931465178917,"40 - 44"
"121",2013,12.1669131944292,0.060834565972146,"15 - 19"
"122",2013,47.0177728687619,0.23508886434381,"20 - 24"
"123",2013,75.6603036946513,0.378301518473256,"25 - 29"
"124",2013,103.420018000095,0.517100090000474,"30 - 34"
"125",2013,78.481460202413,0.392407301012065,"35 - 39"
"126",2013,24.3882666528312,0.121941333264156,"40 - 44"
"127",2014,10.8666315654409,0.0543331578272046,"15 - 19"
"128",2014,42.9225337849417,0.214612668924709,"20 - 24"
"129",2014,72.8111748565727,0.364055874282864,"25 - 29"
