"","Date","Area_Code","Area_Name","Count","Mean","Lower_quartile","Median","Upper_quartile","Lower_quartile_num","Rentals_Cat"
"60",2003,"E06000013","North Lincolnshire UA",330,515,"465",525,"575",465,"300 -"
"61",2741,"E06000014","York UA",1710,881,"775",850,"950",775,"300 -"
"62",NA,"E10000023","North Yorkshire",2660,701,"575",650,"775",575,"300 -"
"63",2705,"E07000163","Craven",350,636,"575",625,"695",575,"300 -"
"64",2710,"E07000164","Hambleton",250,610,"550",600,"650",550,"300 -"
"65",2715,"E07000165","Harrogate",1060,836,"698",775,"895",698,"300 -"
"66",2720,"E07000166","Richmondshire",270,557,"495",550,"600",495,"300 -"
"67",2725,"E07000167","Ryedale",230,651,"575",625,"725",575,"300 -"
"68",2730,"E07000168","Scarborough",370,591,"525",578,"650",525,"300 -"
"69",2735,"E07000169","Selby",140,644,"575",628,"725",575,"300 -"
"70",NA,"E11000003","South Yorkshire (Met County)",4550,620,"500",590,"700",500,"300 -"
"71",4405,"E08000016","Barnsley",690,507,"440",495,"550",440,"300 -"
"72",4410,"E08000017","Doncaster",960,559,"490",550,"625",490,"300 -"
"73",4415,"E08000018","Rotherham",750,541,"450",525,"600",450,"300 -"
"74",4420,"E08000019","Sheffield",2140,712,"575",675,"800",575,"300 -"
"75",NA,"E11000006","West Yorkshire (Met County)",7250,708,"550",675,"840",550,"300 -"
"76",4705,"E08000032","Bradford",1280,589,"475",550,"650",475,"300 -"
"77",4710,"E08000033","Calderdale",900,557,"475",550,"625",475,"300 -"
"78",4715,"E08000034","Kirklees",1060,572,"475",550,"650",475,"300 -"
"79",4720,"E08000035","Leeds",3220,864,"725",850,"975",725,"300 -"
"80",4725,"E08000036","Wakefield",790,616,"530",600,"695",530,"300 -"
"81",1055,"E06000015","Derby UA",1880,624,"550",614,"683",550,"300 -"
"82",2465,"E06000016","Leicester UA",770,723,"625",700,"800",625,"300 -"
"83",3060,"E06000018","Nottingham UA",1520,775,"625",750,"850",625,"300 -"
"84",2470,"E06000017","Rutland UA",100,683,"610",675,"750",610,"300 -"
"85",NA,"E10000007","Derbyshire",2970,622,"550",620,"695",550,"300 -"
"86",1005,"E07000032","Amber Valley",400,612,"530",595,"675",530,"300 -"
"87",1010,"E07000033","Bolsover",270,559,"495",550,"625",495,"300 -"
"88",1015,"E07000034","Chesterfield",650,577,"500",575,"650",500,"300 -"
"89",1045,"E07000035","Derbyshire Dales",290,673,"575",650,"750",575,"300 -"
"90",1025,"E07000036","Erewash",570,650,"580",650,"725",580,"300 -"
"91",1030,"E07000037","High Peak",180,682,"600",675,"750",600,"300 -"
"92",1035,"E07000038","North East Derbyshire",250,608,"520",595,"675",520,"300 -"
"93",1040,"E07000039","South Derbyshire",370,659,"595",650,"725",595,"300 -"
"94",NA,"E10000018","Leicestershire",1630,678,"600",675,"750",600,"300 -"
"95",2405,"E07000129","Blaby",90,722,"650",750,"800",650,"300 -"
"96",2410,"E07000130","Charnwood",630,680,"615",675,"750",615,"300 -"
"97",2415,"E07000131","Harborough",80,722,"650",700,"795",650,"300 -"
"98",2420,"E07000132","Hinckley and Bosworth",260,672,"595",675,"730",595,"300 -"
"99",2430,"E07000133","Melton",200,625,"550",600,"695",550,"300 -"
"100",2435,"E07000134","North West Leicestershire",270,672,"595",650,"725",595,"300 -"
"101",2440,"E07000135","Oadby and Wigston",110,729,"650",725,"800",650,"300 -"
"102",NA,"E10000019","Lincolnshire",3900,631,"550",625,"700",550,"300 -"
"103",2505,"E07000136","Boston",700,653,"600",650,"700",600,"300 -"
"104",2510,"E07000137","East Lindsey",710,549,"485",550,"600",485,"300 -"
"105",2515,"E07000138","Lincoln",680,690,"600",675,"725",600,"300 -"
"106",2520,"E07000139","North Kesteven",360,637,"560",625,"695",560,"300 -"
"107",2525,"E07000140","South Holland",500,653,"600",650,"710",600,"300 -"
"108",2530,"E07000141","South Kesteven",680,643,"535",615,"725",535,"300 -"
"109",2535,"E07000142","West Lindsey",270,564,"450",550,"675",450,"300 -"
"110",NA,"E10000021","Northamptonshire",2510,765,"700",750,"825",700,"300 -"
"111",2805,"E07000150","Corby",260,755,"695",750,"825",695,"300 -"
"112",2810,"E07000151","Daventry",160,780,"700",768,"850",700,"300 -"
