"","year","age_Cat","SUM_pop","SUM_births","ASFR"
"119",2012,"35 - 39",332423,27066,81.4203590004302
"120",2012,"40 - 44",307041,7549,24.5862930357835
"121",2013,"15 - 19",227831,2772,12.1669131944292
"122",2013,"20 - 24",318688,14984,47.0177728687619
"123",2013,"25 - 29",432869,32751,75.6603036946513
"124",2013,"30 - 34",422220,43666,103.420018000095
"125",2013,"35 - 39",339405,26637,78.481460202413
"126",2013,"40 - 44",308386,7521,24.3882666528312
"127",2014,"15 - 19",226013,2456,10.8666315654409
"128",2014,"20 - 24",320927,13775,42.9225337849417
"129",2014,"25 - 29",440990,32109,72.8111748565727
"130",2014,"30 - 34",428512,43949,102.561888581883
"131",2014,"35 - 39",351041,27630,78.7087548178133
"132",2014,"40 - 44",309398,7483,24.1856767012069
"133",2015,"15 - 19",225671,2395,10.6127947321543
"134",2015,"20 - 24",322396,13495,41.8584597823794
"135",2015,"25 - 29",447069,31722,70.9554900921334
"136",2015,"30 - 34",434314,44782,103.109731668793
"137",2015,"35 - 39",363881,29330,80.6032741473174
"138",2015,"40 - 44",312431,7889,25.2503752828625
"139",2016,"15 - 19",224550,2301,10.247160988644
"140",2016,"20 - 24",319878,12794,39.9964986651161
"141",2016,"25 - 29",448857,30438,67.8122430974676
"142",2016,"30 - 34",437293,44944,102.777771425566
"143",2016,"35 - 39",375502,30190,80.3990391529206
"144",2016,"40 - 44",314569,8137,25.867138847121
"145",2017,"15 - 19",222716,2144,9.62660967330591
"146",2017,"20 - 24",313590,12375,39.4623553046972
"147",2017,"25 - 29",445526,29180,65.4956164174481
"148",2017,"30 - 34",436721,43913,100.551610753776
"149",2017,"35 - 39",383515,30524,79.5901072969767
"150",2017,"40 - 44",317699,8172,25.7224605680219
"151",2018,"15 - 19",225879,1943,8.60195060187091
"152",2018,"20 - 24",311053,11485,36.9229681115437
"153",2018,"25 - 29",441496,26870,60.8612535560911
"154",2018,"30 - 34",439105,42021,95.69692898054
"155",2018,"35 - 39",390216,30195,77.3802201857433
"156",2018,"40 - 44",322994,8156,25.2512430571466
"157",2019,"15 - 19",230855,1844,7.98769790561175
"158",2019,"20 - 24",309484,11195,36.1731139574259
"159",2019,"25 - 29",435091,25265,58.0683121461947
"160",2019,"30 - 34",438988,41214,93.8841152833335
"161",2019,"35 - 39",390297,29942,76.715936837844
"162",2019,"40 - 44",330933,8431,25.4764559593634
"163",2020,"15 - 19",236609,1574,6.65232514401396
"164",2020,"20 - 24",304228,10223,33.6030871583155
"165",2020,"25 - 29",425585,23708,55.7068505703913
"166",2020,"30 - 34",436055,39584,90.7775395305638
"167",2020,"35 - 39",390488,28342,72.5809755997624
"168",2020,"40 - 44",339822,8239,24.2450459358135
"169",2021,"15 - 19",242051,1315,5.43273938137004
"170",2021,"20 - 24",302153,9756,32.2882777930386
"171",2021,"25 - 29",409508,22676,55.373765591881
"172",2021,"30 - 34",419492,39450,94.0423178511152
"173",2021,"35 - 39",381673,29387,76.9952289001318
"174",2021,"40 - 44",344039,8372,24.334450454745
