"","Year","age_mother","SUM_births","SUM_pop","London_ASFR","London_ASFR_perK","age_numeric","label"
"1","2000","17",5470,202289,0.0270405212344715,27.0405212344715,17,NA
"2","2000","20",2733,45940,0.059490639965172,59.490639965172,20,NA
"3","2000","21",2963,49151,0.0602836157962198,60.2836157962198,21,NA
"4","2000","22",3052,54295,0.0562114375172668,56.2114375172668,22,NA
"5","2000","23",3462,60678,0.0570552753881143,57.0552753881143,23,NA
"6","2000","24",3945,65578,0.0601573698496447,60.1573698496447,24,NA
"7","2000","25",4385,68162,0.0643320325107831,64.3320325107831,25,NA
"8","2000","26",4807,69452,0.0692132695962679,69.2132695962679,26,NA
"9","2000","27",5398,71685,0.0753016670154147,75.3016670154147,27,NA
"10","2000","28",6120,73170,0.0836408364083641,83.6408364083641,28,NA
"11","2000","29",6621,72584,0.091218450347184,91.218450347184,29,NA
"12","2000","30",7051,70749,0.0996621860379652,99.6621860379652,30,NA
"13","2000","31",7119,71840,0.0990952115812918,99.0952115812917,31,NA
"14","2000","32",6780,71247,0.0951619015537496,95.1619015537496,32,NA
"15","2000","33",6552,71394,0.0917724178502395,91.7724178502395,33,NA
"16","2000","34",6146,70592,0.0870636899365367,87.0636899365367,34,NA
"17","2000","35",5394,69110,0.0780494863261467,78.0494863261467,35,NA
"18","2000","36",4576,66847,0.0684548296857002,68.4548296857002,36,NA
"19","2000","37",3647,64047,0.0569425578091089,56.9425578091089,37,NA
"20","2000","38",2728,60525,0.0450722841800909,45.0722841800909,38,NA
"21","2000","39",2054,58170,0.0353102974041602,35.3102974041602,39,NA
"22","2000","42",3678,252961,0.0145397907187274,14.5397907187274,42,"2000"
"23","2010","17",4070,229762,0.0177139822947224,17.7139822947224,17,NA
"24","2010","20",2474,50434,0.049054209461871,49.054209461871,20,NA
"25","2010","21",3106,53811,0.0577205404099534,57.7205404099534,21,NA
"26","2010","22",3895,62370,0.0624498957832291,62.4498957832291,22,NA
"27","2010","23",4328,68702,0.0629967104305551,62.9967104305551,23,NA
"28","2010","24",5065,74731,0.0677764247768664,67.7764247768664,24,NA
"29","2010","25",5682,79898,0.0711156724824151,71.1156724824151,25,NA
"30","2010","26",5968,81196,0.0735011576924972,73.5011576924972,26,NA
"31","2010","27",6757,84149,0.0802980427574897,80.2980427574897,27,NA
"32","2010","28",7586,85055,0.0891893480688966,89.1893480688966,28,NA
"33","2010","29",8344,85601,0.0974754967815797,97.4754967815797,29,NA
"34","2010","30",8945,84218,0.106212448645183,106.212448645183,30,NA
"35","2010","31",8981,81205,0.110596638138046,110.596638138046,31,NA
"36","2010","32",8726,75615,0.115400383521788,115.400383521788,32,NA
"37","2010","33",8245,72196,0.114203002936451,114.203002936451,33,NA
"38","2010","34",7811,70467,0.110846211701931,110.846211701931,34,NA
"39","2010","35",7189,68538,0.104890717558143,104.890717558143,35,NA
"40","2010","36",6098,66075,0.0922890654559213,92.2890654559213,36,NA
"41","2010","37",5270,65133,0.0809113659742373,80.9113659742373,37,NA
"42","2010","38",4197,64462,0.065108125717477,65.108125717477,38,NA
"43","2010","39",3324,63345,0.0524745441629174,52.4745441629174,39,NA
"44","2010","42",7051,304953,0.0231215957868918,23.1215957868918,42,"2010"
"45","2020","17",1574,236609,0.00665232514401396,6.65232514401396,17,NA
"46","2020","20",1267,47941,0.0264283181410484,26.4283181410484,20,NA
"47","2020","21",1629,51881,0.0313987779726682,31.3987779726682,21,NA
"48","2020","22",1951,59267,0.0329188249784872,32.9188249784872,22,NA
"49","2020","23",2444,69465,0.03518318577701,35.18318577701,23,NA
"50","2020","24",2932,75674,0.0387451436424664,38.7451436424664,24,NA
"51","2020","25",3542,80164,0.0441844219350332,44.1844219350332,25,NA
"52","2020","26",4013,83471,0.0480765774939799,48.0765774939799,26,NA
"53","2020","27",4639,85552,0.0542243314007855,54.2243314007855,27,NA
"54","2020","28",5389,87902,0.0613069099679188,61.3069099679188,28,NA
"55","2020","29",6125,88496,0.0692121677815947,69.2121677815947,29,NA
"56","2020","30",7017,89811,0.0781307412232355,78.1307412232355,30,NA
"57","2020","31",7919,88852,0.0891257371809301,89.1257371809301,31,NA
"58","2020","32",8321,88352,0.0941800977906556,94.1800977906556,32,NA
"59","2020","33",8221,85230,0.0964566467206383,96.4566467206383,33,NA
"60","2020","34",8106,83810,0.09671876864336,96.71876864336,34,NA
"61","2020","35",7505,82266,0.0912284540393358,91.2284540393358,35,NA
"62","2020","36",6702,78700,0.0851588310038119,85.1588310038119,36,NA
"63","2020","37",5677,77598,0.0731591020387123,73.1591020387123,37,NA
"64","2020","38",4706,76234,0.061730986174148,61.730986174148,38,NA
"65","2020","39",3752,75690,0.0495706169903554,49.5706169903554,39,NA
"66","2020","42",8239,339822,0.0242450459358135,24.2450459358135,42,"2020"
