"","Year","SUM_ASFR_new","SUM_AgeXASFR_new","TFR","SMA"
"1","1993",1.70306374273566,48.3565862277427,1.70306374273566,28.8938792273662
"2","1994",1.70626269297723,48.8530812686157,1.70626269297723,29.131629507982
"3","1995",1.68881229354075,48.5188047856127,1.68881229354075,29.2295426325257
"4","1996",1.70173844838791,48.9755259640909,1.70173844838791,29.2797023158796
"5","1997",1.70847613829595,49.276183625113,1.70847613829595,29.3421842837452
"6","1998",1.69636920156565,49.0550060243691,1.69636920156565,29.4176471602374
"7","1999",1.67223781466225,48.4567933707049,1.67223781466225,29.4772142130943
"8","2000",1.64139101652542,47.7170203971983,1.64139101652542,29.5710866069002
"9","2001",1.61288234968885,47.0617386756106,1.61288234968885,29.6786556438476
"10","2002",1.63362310738042,47.758838846483,1.63362310738042,29.7349187708701
"11","2003",1.71617283763942,50.4385162008834,1.71617283763942,29.8901145005074
"12","2004",1.7595891792675,51.8176491967505,1.7595891792675,29.9487200804006
"13","2005",1.76420419285823,52.1032254673809,1.76420419285823,30.0335572142401
"14","2006",1.81355914000341,53.7599564796644,1.81355914000341,30.1433434641471
"15","2007",1.85756530702174,55.4470465329611,1.85756530702174,30.3493120663736
"16","2008",1.85482593564813,55.5900424186833,1.85482593564813,30.4704901415768
"17","2009",1.84638039788601,55.5405156803821,1.84638039788601,30.5807546180476
"18","2010",1.86868789286552,56.5380254297497,1.86868789286552,30.7554672963884
"19","2011",1.82773582711094,55.6934355282376,1.82773582711094,30.9712719979182
"20","2012",1.80909883685691,55.4106378869134,1.80909883685691,31.1288615956343
"21","2013",1.69561808136041,52.3555843969833,1.69561808136041,31.3769910939955
"22","2014",1.64938805289224,51.2359315560258,1.64938805289224,31.5636005069773
"23","2015",1.65046738293984,51.4771465740442,1.65046738293984,31.6894358568615
"24","2016",1.62500912454711,50.891882496652,1.62500912454711,31.8179056830437
"25","2017",1.59314133291993,49.9670507518199,1.59314133291993,31.8638531116631
"26","2018",1.51639825606968,47.7792027011748,1.51639825606968,32.0083471706258
"27","2019",1.48526701485995,46.930829965266,1.48526701485995,32.0975710062418
"28","2020",1.41162549629531,44.6872865240846,1.41162549629531,32.1566161785562
"29","2021",1.43547632784923,45.7402682546297,1.43547632784923,32.364174537216
